generation,incumbent_fitness,historical_network_fitness
0,0.5294749274,0.4459
1,0.4927854549275,0.4459
2,0.47204573957423,0.4459
3,0.45672894638264829,0.4459
4,0.442749056739367,0.4459
5,0.4390940450334503,0.4459
6,0.4390940450334503,0.4459
7,0.43466664644917485,0.4459
8,0.42662395236696404,0.4459
9,0.4153881810151407,0.4459
10,0.4153881810151407,0.4459
11,0.4133460014530765,0.4459
12,0.4133460014530765,0.4459
13,0.4133460014530765,0.4459
14,0.4133460014530765,0.4459
15,0.4133460014530765,0.4459
16,0.4126129326229031,0.4459
17,0.4120507192019431,0.4459
18,0.40944677706782573,0.4459
19,0.40944677706782573,0.4459
20,0.40944677706782573,0.4459
21,0.40944677706782573,0.4459
22,0.4083719842373921,0.4459
23,0.4083719842373921,0.4459
24,0.39806068830634456,0.4459
25,0.39806068830634456,0.4459
26,0.39806068830634456,0.4459
27,0.39806068830634456,0.4459
28,0.39806068830634456,0.4459
29,0.39806068830634456,0.4459
